slot,dataset,attachment_point,requests,hop_budget,min_hop,reason
56,6,2,1,1,inf,uncovered_within_hop_budget
57,2,1,1,1,inf,uncovered_within_hop_budget
57,4,7,1,1,inf,uncovered_within_hop_budget
57,5,9,1,1,inf,uncovered_within_hop_budget
57,6,4,1,1,inf,uncovered_within_hop_budget
58,2,1,1,1,inf,uncovered_within_hop_budget
58,2,3,1,1,inf,uncovered_within_hop_budget
58,2,4,2,1,inf,uncovered_within_hop_budget
58,2,6,2,1,inf,uncovered_within_hop_budget
58,4,2,1,1,inf,uncovered_within_hop_budget
58,5,1,1,1,inf,uncovered_within_hop_budget
58,6,0,1,1,inf,uncovered_within_hop_budget
59,3,2,1,1,inf,uncovered_within_hop_budget
59,4,1,1,1,inf,uncovered_within_hop_budget
59,4,5,1,1,inf,uncovered_within_hop_budget
59,4,7,1,1,inf,uncovered_within_hop_budget
59,5,4,1,1,inf,uncovered_within_hop_budget
60,3,1,1,1,inf,uncovered_within_hop_budget
60,4,1,1,1,inf,uncovered_within_hop_budget
60,5,2,1,1,inf,uncovered_within_hop_budget
60,5,5,1,1,inf,uncovered_within_hop_budget
61,3,9,1,1,inf,uncovered_within_hop_budget
61,5,2,1,1,inf,uncovered_within_hop_budget
62,4,2,1,1,inf,uncovered_within_hop_budget
62,4,4,1,1,inf,uncovered_within_hop_budget
63,2,4,1,1,inf,uncovered_within_hop_budget
63,3,1,1,1,inf,uncovered_within_hop_budget
63,3,2,1,1,inf,uncovered_within_hop_budget
63,5,2,1,1,inf,uncovered_within_hop_budget
64,2,2,1,1,inf,uncovered_within_hop_budget
64,2,4,2,1,inf,uncovered_within_hop_budget
64,4,4,1,1,inf,uncovered_within_hop_budget
64,5,2,1,1,inf,uncovered_within_hop_budget
64,6,2,1,1,inf,uncovered_within_hop_budget
64,6,9,1,1,inf,uncovered_within_hop_budget
65,0,1,2,1,inf,uncovered_within_hop_budget
65,0,2,1,1,inf,uncovered_within_hop_budget
65,0,7,1,1,inf,uncovered_within_hop_budget
65,0,9,1,1,inf,uncovered_within_hop_budget
65,2,2,1,1,inf,uncovered_within_hop_budget
65,2,7,1,1,inf,uncovered_within_hop_budget
65,2,9,2,1,inf,uncovered_within_hop_budget
65,2,4,2,1,inf,uncovered_within_hop_budget
65,2,5,1,1,inf,uncovered_within_hop_budget
65,4,1,1,1,inf,uncovered_within_hop_budget
65,4,4,1,1,inf,uncovered_within_hop_budget
66,0,0,1,1,inf,uncovered_within_hop_budget
66,0,2,2,1,inf,uncovered_within_hop_budget
66,0,4,4,1,inf,uncovered_within_hop_budget
66,0,5,1,1,inf,uncovered_within_hop_budget
66,0,8,1,1,inf,uncovered_within_hop_budget
66,0,9,2,1,inf,uncovered_within_hop_budget
66,1,2,1,1,inf,uncovered_within_hop_budget
66,2,4,1,1,inf,uncovered_within_hop_budget
66,2,3,1,1,inf,uncovered_within_hop_budget
67,0,0,1,1,inf,uncovered_within_hop_budget
67,0,1,1,1,inf,uncovered_within_hop_budget
67,0,2,1,1,inf,uncovered_within_hop_budget
67,0,3,1,1,inf,uncovered_within_hop_budget
67,0,6,1,1,inf,uncovered_within_hop_budget
67,1,0,1,1,inf,uncovered_within_hop_budget
67,1,1,1,1,inf,uncovered_within_hop_budget
67,1,6,2,1,inf,uncovered_within_hop_budget
67,1,4,1,1,inf,uncovered_within_hop_budget
67,1,5,2,1,inf,uncovered_within_hop_budget
67,1,9,1,1,inf,uncovered_within_hop_budget
67,2,2,2,1,inf,uncovered_within_hop_budget
67,2,6,2,1,inf,uncovered_within_hop_budget
67,2,4,2,1,inf,uncovered_within_hop_budget
68,1,1,1,1,inf,uncovered_within_hop_budget
68,1,4,2,1,inf,uncovered_within_hop_budget
68,1,6,1,1,inf,uncovered_within_hop_budget
68,2,2,2,1,inf,uncovered_within_hop_budget
68,2,7,1,1,inf,uncovered_within_hop_budget
68,4,1,1,1,inf,uncovered_within_hop_budget
68,4,9,1,1,inf,uncovered_within_hop_budget
69,1,0,1,1,inf,uncovered_within_hop_budget
69,1,1,1,1,inf,uncovered_within_hop_budget
69,1,3,1,1,inf,uncovered_within_hop_budget
69,1,4,1,1,inf,uncovered_within_hop_budget
69,1,9,1,1,inf,uncovered_within_hop_budget
69,2,7,1,1,inf,uncovered_within_hop_budget
69,2,8,1,1,inf,uncovered_within_hop_budget
70,1,0,1,1,inf,uncovered_within_hop_budget
70,1,2,1,1,inf,uncovered_within_hop_budget
70,1,9,1,1,inf,uncovered_within_hop_budget
70,2,1,1,1,inf,uncovered_within_hop_budget
70,2,3,1,1,inf,uncovered_within_hop_budget
70,2,5,2,1,inf,uncovered_within_hop_budget
70,3,7,1,1,inf,uncovered_within_hop_budget
70,4,1,1,1,inf,uncovered_within_hop_budget
70,5,2,1,1,inf,uncovered_within_hop_budget
71,2,0,1,1,inf,uncovered_within_hop_budget
71,3,4,1,1,inf,uncovered_within_hop_budget
72,2,1,1,1,inf,uncovered_within_hop_budget
72,2,2,1,1,inf,uncovered_within_hop_budget
72,2,3,1,1,inf,uncovered_within_hop_budget
72,2,6,1,1,inf,uncovered_within_hop_budget
72,2,7,1,1,inf,uncovered_within_hop_budget
72,3,2,1,1,inf,uncovered_within_hop_budget
72,3,7,1,1,inf,uncovered_within_hop_budget
72,4,4,1,1,inf,uncovered_within_hop_budget
72,4,9,1,1,inf,uncovered_within_hop_budget
72,6,4,1,1,inf,uncovered_within_hop_budget
73,4,2,2,1,inf,uncovered_within_hop_budget
74,5,1,1,1,inf,uncovered_within_hop_budget
74,5,9,1,1,inf,uncovered_within_hop_budget
75,4,4,1,1,inf,uncovered_within_hop_budget
75,5,4,1,1,inf,uncovered_within_hop_budget
75,5,9,1,1,inf,uncovered_within_hop_budget
76,4,4,1,1,inf,uncovered_within_hop_budget
77,3,1,1,1,inf,uncovered_within_hop_budget
77,4,1,1,1,inf,uncovered_within_hop_budget
77,4,2,1,1,inf,uncovered_within_hop_budget
77,4,4,1,1,inf,uncovered_within_hop_budget
77,4,8,1,1,inf,uncovered_within_hop_budget
77,4,9,1,1,inf,uncovered_within_hop_budget
77,6,4,1,1,inf,uncovered_within_hop_budget
78,1,4,1,1,inf,uncovered_within_hop_budget
78,4,3,1,1,inf,uncovered_within_hop_budget
78,6,3,1,1,inf,uncovered_within_hop_budget
79,1,2,1,1,inf,uncovered_within_hop_budget
79,1,3,1,1,inf,uncovered_within_hop_budget
79,1,4,1,1,inf,uncovered_within_hop_budget
79,1,6,1,1,inf,uncovered_within_hop_budget
79,1,8,1,1,inf,uncovered_within_hop_budget
79,2,2,1,1,inf,uncovered_within_hop_budget
79,2,4,1,1,inf,uncovered_within_hop_budget
79,2,1,1,1,inf,uncovered_within_hop_budget
79,3,2,1,1,inf,uncovered_within_hop_budget
79,3,6,1,1,inf,uncovered_within_hop_budget
79,4,1,1,1,inf,uncovered_within_hop_budget
79,6,1,1,1,inf,uncovered_within_hop_budget
80,1,1,1,1,inf,uncovered_within_hop_budget
80,1,2,1,1,inf,uncovered_within_hop_budget
80,1,6,1,1,inf,uncovered_within_hop_budget
80,2,2,2,1,inf,uncovered_within_hop_budget
80,2,5,1,1,inf,uncovered_within_hop_budget
80,2,8,1,1,inf,uncovered_within_hop_budget
80,3,4,1,1,inf,uncovered_within_hop_budget
80,4,1,1,1,inf,uncovered_within_hop_budget
80,4,8,1,1,inf,uncovered_within_hop_budget
80,4,4,1,1,inf,uncovered_within_hop_budget
81,1,0,1,1,inf,uncovered_within_hop_budget
81,1,1,2,1,inf,uncovered_within_hop_budget
81,1,4,1,1,inf,uncovered_within_hop_budget
81,1,5,2,1,inf,uncovered_within_hop_budget
81,1,6,1,1,inf,uncovered_within_hop_budget
81,1,8,2,1,inf,uncovered_within_hop_budget
81,2,2,1,1,inf,uncovered_within_hop_budget
81,4,3,1,1,inf,uncovered_within_hop_budget
81,5,3,2,1,inf,uncovered_within_hop_budget
82,1,0,1,1,inf,uncovered_within_hop_budget
82,1,1,1,1,inf,uncovered_within_hop_budget
82,1,4,2,1,inf,uncovered_within_hop_budget
82,1,7,1,1,inf,uncovered_within_hop_budget
82,1,8,1,1,inf,uncovered_within_hop_budget
82,2,1,1,1,inf,uncovered_within_hop_budget
82,2,4,1,1,inf,uncovered_within_hop_budget
82,2,8,1,1,inf,uncovered_within_hop_budget
82,2,6,1,1,inf,uncovered_within_hop_budget
82,5,1,1,1,inf,uncovered_within_hop_budget
83,1,2,2,1,inf,uncovered_within_hop_budget
83,1,4,1,1,inf,uncovered_within_hop_budget
83,1,5,1,1,inf,uncovered_within_hop_budget
83,1,7,1,1,inf,uncovered_within_hop_budget
83,4,1,1,1,inf,uncovered_within_hop_budget
83,6,1,1,1,inf,uncovered_within_hop_budget
83,6,0,1,1,inf,uncovered_within_hop_budget
84,4,4,1,1,inf,uncovered_within_hop_budget
85,2,3,1,1,inf,uncovered_within_hop_budget
85,2,4,1,1,inf,uncovered_within_hop_budget
85,4,6,1,1,inf,uncovered_within_hop_budget
85,6,3,1,1,inf,uncovered_within_hop_budget
85,6,5,1,1,inf,uncovered_within_hop_budget
86,2,1,1,1,inf,uncovered_within_hop_budget
86,2,2,1,1,inf,uncovered_within_hop_budget
86,4,2,1,1,inf,uncovered_within_hop_budget
86,4,0,1,1,inf,uncovered_within_hop_budget
86,5,4,1,1,inf,uncovered_within_hop_budget
87,2,2,1,1,inf,uncovered_within_hop_budget
87,2,4,2,1,inf,uncovered_within_hop_budget
87,3,3,1,1,inf,uncovered_within_hop_budget
87,5,4,1,1,inf,uncovered_within_hop_budget
87,5,8,1,1,inf,uncovered_within_hop_budget
88,3,9,1,1,inf,uncovered_within_hop_budget
88,4,4,1,1,inf,uncovered_within_hop_budget
88,4,5,1,1,inf,uncovered_within_hop_budget
88,6,3,1,1,inf,uncovered_within_hop_budget
89,1,5,1,1,inf,uncovered_within_hop_budget
