COVERAGE VIOLATION REPORT
================================================================================
Total demand pairs checked: 38186
Total violations: 38186
Overall violation ratio: 1.000000

Per-slot summary:
 slot  demand_pairs  violations  violation_ratio
  368             6           6              1.0
  369             5           5              1.0
  370             4           4              1.0
  371             5           5              1.0
  372             4           4              1.0
  373             8           8              1.0
  374             8           8              1.0
  375             3           3              1.0
  376            10          10              1.0
  377             4           4              1.0
  378             8           8              1.0
  379             7           7              1.0
  380             9           9              1.0
  381             4           4              1.0
  382             8           8              1.0
  383            14          14              1.0
  384             4           4              1.0
  385             7           7              1.0
  386             5           5              1.0
  387            14          14              1.0
  388            10          10              1.0
  389             5           5              1.0
  390             7           7              1.0
  391            12          12              1.0
  392             3           3              1.0
  393             4           4              1.0
  394            13          13              1.0
  395             8           8              1.0
  396            12          12              1.0
  397             7           7              1.0
  398             8           8              1.0
  399             6           6              1.0
  400             6           6              1.0
  401             6           6              1.0
  402            14          14              1.0
  403            13          13              1.0
  404             8           8              1.0
  405             7           7              1.0
  406             5           5              1.0
  407            13          13              1.0
  408            24          24              1.0
  409            33          33              1.0
  410            34          34              1.0
  411            23          23              1.0
  412             8           8              1.0
  413             5           5              1.0
  414            10          10              1.0
  415            13          13              1.0
  416             9           9              1.0
  417            14          14              1.0
  418             1           1              1.0
  419            26          26              1.0
  420             9           9              1.0
  421            18          18              1.0
  422            10          10              1.0
  423            15          15              1.0
  424            10          10              1.0
  425            17          17              1.0
  426             6           6              1.0
  427             6           6              1.0
  428             4           4              1.0
  429             4           4              1.0
  430             9           9              1.0
  431             8           8              1.0
  432             4           4              1.0
  433             2           2              1.0
  434             5           5              1.0
  435             7           7              1.0
  436             6           6              1.0
  437             4           4              1.0
  438            10          10              1.0
  439             5           5              1.0
  440             6           6              1.0
  441            11          11              1.0
  442             8           8              1.0
  443            10          10              1.0
  444             9           9              1.0
  445            11          11              1.0
  446             8           8              1.0
  447            15          15              1.0
  448            15          15              1.0
  449             9           9              1.0
  450             9           9              1.0
  451            18          18              1.0
  452            11          11              1.0
  453             7           7              1.0
  454            10          10              1.0
  455            12          12              1.0
  456             1           1              1.0
  457             5           5              1.0
  458            18          18              1.0
  459             4           4              1.0
  460            10          10              1.0
  461            12          12              1.0
  462             9           9              1.0
  463             9           9              1.0
  464             4           4              1.0
  465            11          11              1.0
  466             9           9              1.0
  467             7           7              1.0
  468            12          12              1.0
  469             9           9              1.0
  470             5           5              1.0
  471             5           5              1.0
  472            12          12              1.0
  473            11          11              1.0
  474            23          23              1.0
  475            15          15              1.0
  476             9           9              1.0
  477             5           5              1.0
  478             6           6              1.0
  479            13          13              1.0
  480            15          15              1.0
  481            16          16              1.0
  482            11          11              1.0
  483             9           9              1.0
