COVERAGE VIOLATION REPORT
================================================================================
Total demand pairs checked: 38186
Total violations: 0
Overall violation ratio: 0.000000

Per-slot summary:
 slot  demand_pairs  violations  violation_ratio
  455            12           0              0.0
  456             1           0              0.0
  457             5           0              0.0
  458            18           0              0.0
  459             4           0              0.0
  460            10           0              0.0
  461            12           0              0.0
  462             9           0              0.0
  463             9           0              0.0
  464             4           0              0.0
  465            11           0              0.0
  466             9           0              0.0
  467             7           0              0.0
  468            12           0              0.0
  469             9           0              0.0
  470             5           0              0.0
  471             5           0              0.0
  472            12           0              0.0
  473            11           0              0.0
  474            23           0              0.0
  475            15           0              0.0
  476             9           0              0.0
  477             5           0              0.0
  478             6           0              0.0
  479            13           0              0.0
  480            15           0              0.0
  481            16           0              0.0
  482            11           0              0.0
  483             9           0              0.0
  484             7           0              0.0
  485             9           0              0.0
  486            13           0              0.0
  487            10           0              0.0
  488            25           0              0.0
  489             9           0              0.0
  490             9           0              0.0
  491            11           0              0.0
  492             4           0              0.0
  493             7           0              0.0
  494            19           0              0.0
  495            15           0              0.0
  496            10           0              0.0
  497            15           0              0.0
  498            13           0              0.0
  499             7           0              0.0
  500            16           0              0.0
  501            17           0              0.0
  502            19           0              0.0
  503            13           0              0.0
  504            18           0              0.0
  505             8           0              0.0
  506             8           0              0.0
  507            13           0              0.0
  508            17           0              0.0
  509            22           0              0.0
  510            19           0              0.0
  511            15           0              0.0
  512            14           0              0.0
  513            13           0              0.0
  514            12           0              0.0
  515            20           0              0.0
  516             9           0              0.0
  517            10           0              0.0
  518             9           0              0.0
  519             6           0              0.0
  520            13           0              0.0
  521            19           0              0.0
  522            16           0              0.0
  523            21           0              0.0
  524            12           0              0.0
  525            15           0              0.0
  526             6           0              0.0
  527             5           0              0.0
  528            16           0              0.0
  529            16           0              0.0
  530            10           0              0.0
  531            22           0              0.0
  532            14           0              0.0
  533             6           0              0.0
  534             7           0              0.0
  535            10           0              0.0
  536            14           0              0.0
  537            10           0              0.0
  538            13           0              0.0
  539             8           0              0.0
  540            11           0              0.0
  541             7           0              0.0
  542            15           0              0.0
  543            18           0              0.0
  544            18           0              0.0
  545            19           0              0.0
  546             6           0              0.0
  547             4           0              0.0
  548             6           0              0.0
  549            10           0              0.0
  550            17           0              0.0
  551            17           0              0.0
  552            11           0              0.0
  553            10           0              0.0
  554             3           0              0.0
  555             9           0              0.0
  556            15           0              0.0
  557            15           0              0.0
  558            11           0              0.0
  559             5           0              0.0
  560            16           0              0.0
  561            13           0              0.0
  562            12           0              0.0
  563            15           0              0.0
  564            15           0              0.0
  565            17           0              0.0
  566            20           0              0.0
  567            15           0              0.0
  568            10           0              0.0
  569             7           0              0.0
  570            16           0              0.0
  571            24           0              0.0
  572            18           0              0.0
  573            16           0              0.0
  574             9           0              0.0
  575             8           0              0.0
  576             5           0              0.0
  577            21           0              0.0
  578            29           0              0.0
  579            21           0              0.0
  580            18           0              0.0
  581            17           0              0.0
  582             6           0              0.0
  583             8           0              0.0
  584            20           0              0.0
  585            24           0              0.0
  586            21           0              0.0
  587            18           0              0.0
  588            20           0              0.0
  589            11           0              0.0
  590            10           0              0.0
  591            24           0              0.0
  592            29           0              0.0
  593            28           0              0.0
  594            12           0              0.0
  595            20           0              0.0
  596             7           0              0.0
  597            12           0              0.0
  598            28           0              0.0
  599            22           0              0.0
  600            22           0              0.0
  601            19           0              0.0
  602            17           0              0.0
  603            16           0              0.0
  604            15           0              0.0
  605            13           0              0.0
  606            21           0              0.0
  607            21           0              0.0
  608            26           0              0.0
  609            28           0              0.0
  610            15           0              0.0
  611             7           0              0.0
  612            15           0              0.0
  613            19           0              0.0
  614            10           0              0.0
  615            23           0              0.0
  616            14           0              0.0
  617             9           0              0.0
  618             8           0              0.0
  619            30           0              0.0
  620            28           0              0.0
  621            12           0              0.0
  622             8           0              0.0
  623            12           0              0.0
  624             9           0              0.0
  625             5           0              0.0
  626            16           0              0.0
  627            19           0              0.0
  628            13           0              0.0
  629            17           0              0.0
  630            12           0              0.0
  631            14           0              0.0
  632             7           0              0.0
  633            22           0              0.0
  634            16           0              0.0
  635            23           0              0.0
  636            20           0              0.0
  637            14           0              0.0
  638            14           0              0.0
  639            14           0              0.0
  640            17           0              0.0
  641            19           0              0.0
  642            21           0              0.0
  643            20           0              0.0
  644             9           0              0.0
  645            11           0              0.0
  646             8           0              0.0
  647            21           0              0.0
  648            21           0              0.0
  649            18           0              0.0
  650            23           0              0.0
  651            21           0              0.0
  652            13           0              0.0
  653            17           0              0.0
  654            19           0              0.0
  655            18           0              0.0
  656            25           0              0.0
  657            25           0              0.0
  658            18           0              0.0
  659             9           0              0.0
  660            19           0              0.0
  661            17           0              0.0
  662            32           0              0.0
  663            30           0              0.0
  664            22           0              0.0
  665            19           0              0.0
  666            14           0              0.0
  667            24           0              0.0
  668            33           0              0.0
  669            26           0              0.0
  670            24           0              0.0
  671            27           0              0.0
  672            24           0              0.0
  673            17           0              0.0
  674            22           0              0.0
  675            31           0              0.0
  676            29           0              0.0
  677            25           0              0.0
  678            32           0              0.0
  679            19           0              0.0
  680            18           0              0.0
  681             8           0              0.0
  682            31           0              0.0
  683            32           0              0.0
  684            34           0              0.0
  685            19           0              0.0
  686            30           0              0.0
  687            17           0              0.0
  688            17           0              0.0
  689            29           0              0.0
  690            25           0              0.0
  691            14           0              0.0
  692            11           0              0.0
  693            18           0              0.0
  694            12           0              0.0
  695            12           0              0.0
