Slot,Objective,R_nom,B_nom,R_wc,B_wc,Op,Adds,Removes,Time(s)
113,-0.0908,0.0000,0.0092,N/A,N/A,0.1000,1,0,0.00
114,0.1896,0.2667,0.0230,N/A,N/A,0.1000,1,4,0.01
115,-0.0631,0.0833,0.0536,N/A,N/A,0.2000,2,1,0.00
116,-0.1621,0.0769,0.0610,N/A,N/A,0.3000,3,1,0.00
117,-0.0022,0.2667,0.0311,N/A,N/A,0.3000,3,4,0.01
118,0.1277,0.2143,0.0134,N/A,N/A,0.1000,1,3,0.00
119,-0.0707,0.0833,0.0460,N/A,N/A,0.2000,2,1,0.00
120,0.1044,0.1538,0.0506,N/A,N/A,0.1000,1,2,0.00
121,-0.0644,0.0833,0.0523,N/A,N/A,0.2000,2,1,0.00
122,-0.0157,0.1538,0.0304,N/A,N/A,0.2000,2,2,0.00
123,0.2889,0.4615,0.0274,N/A,N/A,0.2000,2,6,0.01
124,0.0848,0.2222,0.0626,N/A,N/A,0.2000,2,2,0.00
125,0.2755,0.4444,0.0311,N/A,N/A,0.2000,2,4,0.01
126,-0.2186,0.1429,0.0386,N/A,N/A,0.4000,4,1,0.00
127,0.4272,0.5000,0.0272,N/A,N/A,0.1000,1,5,0.01
128,-0.0576,0.0000,0.0424,N/A,N/A,0.1000,1,0,0.00
129,-0.2676,0.0000,0.0324,N/A,N/A,0.3000,3,0,0.00
130,-0.0565,0.1000,0.0435,N/A,N/A,0.2000,2,1,0.00
131,0.1126,0.2727,0.0398,N/A,N/A,0.2000,2,3,0.00
132,-0.1557,0.1000,0.0443,N/A,N/A,0.3000,3,1,0.00
133,-0.2752,0.1667,0.0582,N/A,N/A,0.5000,5,2,0.00
134,0.3144,0.4667,0.0477,N/A,N/A,0.2000,2,7,0.01
135,0.2444,0.5000,0.0444,N/A,N/A,0.3000,3,5,0.01
136,-0.4386,0.0000,0.0614,N/A,N/A,0.5000,5,0,0.00
137,0.1511,0.2308,0.0203,N/A,N/A,0.1000,1,3,0.00
138,-0.1656,0.0909,0.0434,N/A,N/A,0.3000,3,1,0.00
139,-0.0160,0.2308,0.0532,N/A,N/A,0.3000,3,3,0.00
140,-0.1473,0.0000,0.0527,N/A,N/A,0.2000,2,0,0.00
141,-0.0518,0.0000,0.0482,N/A,N/A,0.1000,1,0,0.00
142,0.4038,0.5625,0.0413,N/A,N/A,0.2000,2,9,0.01
143,0.2831,0.4444,0.0386,N/A,N/A,0.2000,2,4,0.00
144,-0.2592,0.0000,0.0408,N/A,N/A,0.3000,3,0,0.00
145,-0.0000,0.3000,0.0000,N/A,N/A,0.3000,3,3,0.01
146,0.0000,0.1000,0.0000,N/A,N/A,0.1000,1,1,0.00
147,0.2000,0.3000,0.0000,N/A,N/A,0.1000,1,3,0.00
148,-0.1931,0.1250,0.0819,N/A,N/A,0.4000,4,1,0.00
149,0.1058,0.2727,0.0330,N/A,N/A,0.2000,2,3,0.00
150,0.0221,0.1000,0.0221,N/A,N/A,0.1000,1,1,0.00
151,0.0137,0.1000,0.0137,N/A,N/A,0.1000,1,1,0.00
152,-0.1781,0.0000,0.0219,N/A,N/A,0.2000,2,0,0.00
153,0.0253,0.0000,0.0253,N/A,N/A,0.0000,0,0,0.00
154,-0.0975,0.0833,0.0191,N/A,N/A,0.2000,2,1,0.00
155,0.1418,0.3077,0.0341,N/A,N/A,0.2000,2,4,0.01
156,-0.0091,0.0909,0.0000,N/A,N/A,0.1000,1,1,0.00
157,0.3545,0.4545,0.0000,N/A,N/A,0.1000,1,5,0.00
158,0.1509,0.2857,0.0652,N/A,N/A,0.2000,2,2,0.00
159,0.2699,0.4286,0.0413,N/A,N/A,0.2000,2,3,0.00
160,0.0697,0.3333,0.0363,N/A,N/A,0.3000,3,2,0.00
161,-0.0616,0.2857,0.0527,N/A,N/A,0.4000,4,2,0.00
162,0.1222,0.2222,0.0000,N/A,N/A,0.1000,1,2,0.00
163,0.1500,0.2500,0.0000,N/A,N/A,0.1000,1,2,0.00
164,-0.4369,0.0000,0.0631,N/A,N/A,0.5000,5,0,0.00
165,0.0136,0.0000,0.0136,N/A,N/A,0.0000,0,0,0.00
166,0.5835,0.6667,0.0168,N/A,N/A,0.1000,1,8,0.01
167,-0.0471,0.2000,0.0529,N/A,N/A,0.3000,3,1,0.00
168,0.1548,0.4286,0.0263,N/A,N/A,0.3000,3,3,0.00
169,-0.2102,0.1429,0.0469,N/A,N/A,0.4000,4,1,0.00
170,-0.0621,0.1000,0.0379,N/A,N/A,0.2000,2,1,0.00
171,0.0213,0.1818,0.0394,N/A,N/A,0.2000,2,2,0.00
172,0.5073,0.6364,0.0710,N/A,N/A,0.2000,2,7,0.01
173,0.3234,0.6667,0.0567,N/A,N/A,0.4000,4,4,0.01
174,-0.4317,0.0000,0.0683,N/A,N/A,0.5000,5,0,0.00
175,-0.1928,0.0000,0.0072,N/A,N/A,0.2000,2,0,0.00
176,-0.0705,0.0000,0.0295,N/A,N/A,0.1000,1,0,0.00
177,0.0897,0.1429,0.0469,N/A,N/A,0.1000,1,2,0.00
178,0.4050,0.5385,0.0665,N/A,N/A,0.2000,2,7,0.01
179,0.0370,0.1250,0.0120,N/A,N/A,0.1000,1,1,0.00
180,0.3252,0.3750,0.0502,N/A,N/A,0.1000,1,3,0.01
181,0.3165,0.6667,0.0499,N/A,N/A,0.4000,4,4,0.01
182,-0.0260,0.3333,0.0407,N/A,N/A,0.4000,4,2,0.00
183,-0.0059,0.2500,0.0441,N/A,N/A,0.3000,3,2,0.01
184,-0.1429,0.0000,0.0571,N/A,N/A,0.2000,2,0,0.00
185,0.4101,0.6364,0.0737,N/A,N/A,0.3000,3,7,0.01
186,0.0483,0.2857,0.0626,N/A,N/A,0.3000,3,2,0.00
187,0.4113,0.5000,0.1113,N/A,N/A,0.2000,2,4,0.00
188,0.2821,0.3333,0.0488,N/A,N/A,0.1000,1,2,0.00
189,0.1117,0.2000,0.1117,N/A,N/A,0.2000,2,1,0.00
190,-0.5160,0.0000,0.0840,N/A,N/A,0.6000,6,0,0.00
191,-0.1618,0.0000,0.0382,N/A,N/A,0.2000,2,0,0.00
192,0.1633,0.4286,0.0347,N/A,N/A,0.3000,3,6,0.01
193,0.3692,0.4545,0.0147,N/A,N/A,0.1000,1,5,0.01
194,0.3005,0.5714,0.0291,N/A,N/A,0.3000,3,4,0.01
195,0.2368,0.5000,0.0368,N/A,N/A,0.3000,3,3,0.00
196,-0.1096,0.3333,0.0570,N/A,N/A,0.5000,5,2,0.00
197,0.0802,0.4444,0.0357,N/A,N/A,0.4000,4,4,0.01
198,0.1757,0.4444,0.0312,N/A,N/A,0.3000,3,4,0.01
199,0.3933,0.7500,0.0433,N/A,N/A,0.4000,4,6,0.01
200,0.0334,0.1667,0.0667,N/A,N/A,0.2000,2,1,0.00
201,0.2549,0.4286,0.0263,N/A,N/A,0.2000,2,3,0.00
202,-0.0031,0.3333,0.0636,N/A,N/A,0.4000,4,2,0.00
203,0.2033,0.6250,0.0783,N/A,N/A,0.5000,5,5,0.01
204,0.0270,0.3750,0.0520,N/A,N/A,0.4000,4,3,0.01
205,0.1618,0.3333,0.0284,N/A,N/A,0.2000,2,3,0.00
206,-0.0201,0.1250,0.0549,N/A,N/A,0.2000,2,1,0.00
207,0.1821,0.4444,0.0377,N/A,N/A,0.3000,3,4,0.01
208,0.0382,0.3750,0.0632,N/A,N/A,0.4000,4,3,0.00
209,0.4712,0.5556,0.0157,N/A,N/A,0.1000,1,5,0.01
210,0.0456,0.4000,0.0456,N/A,N/A,0.4000,4,2,0.00
211,0.1853,0.4286,0.0567,N/A,N/A,0.3000,3,3,0.00
212,0.2945,0.4286,0.0659,N/A,N/A,0.2000,2,3,0.00
213,0.5044,0.6667,0.0378,N/A,N/A,0.2000,2,4,0.01
214,0.1583,0.5000,0.0583,N/A,N/A,0.4000,4,2,0.00
215,0.2294,0.5000,0.0294,N/A,N/A,0.3000,3,3,0.00
216,-0.1861,0.3333,0.0805,N/A,N/A,0.6000,6,2,0.00
217,0.3276,0.5000,0.0276,N/A,N/A,0.2000,2,5,0.01
218,-0.4188,0.0000,0.0812,N/A,N/A,0.5000,5,0,0.00
219,0.5117,0.5833,0.0284,N/A,N/A,0.1000,1,7,0.01
220,0.5006,0.6667,0.0339,N/A,N/A,0.2000,2,4,0.00
221,-0.2718,0.0000,0.0282,N/A,N/A,0.3000,3,0,0.00
222,-0.1968,0.1429,0.0603,N/A,N/A,0.4000,4,1,0.00
223,0.0158,0.3000,0.0158,N/A,N/A,0.3000,3,3,0.01
224,0.5370,0.6000,0.0370,N/A,N/A,0.1000,1,6,0.01
225,0.1420,0.4000,0.0420,N/A,N/A,0.3000,3,2,0.00
226,0.3117,0.6667,0.0451,N/A,N/A,0.4000,4,4,0.00
227,0.2546,0.5000,0.0546,N/A,N/A,0.3000,3,3,0.00
228,0.1962,0.3333,0.0629,N/A,N/A,0.2000,2,2,0.00
229,-0.1002,0.1667,0.0331,N/A,N/A,0.3000,3,1,0.00
230,-0.1245,0.2500,0.0255,N/A,N/A,0.4000,4,2,0.00
231,0.5318,0.6000,0.0318,N/A,N/A,0.1000,1,6,0.01
232,-0.5522,0.0000,0.0478,N/A,N/A,0.6000,6,0,0.00
233,0.1258,0.2727,0.0531,N/A,N/A,0.2000,2,3,0.00
234,0.4409,0.5000,0.0409,N/A,N/A,0.1000,1,5,0.01
235,0.2528,0.3333,0.1195,N/A,N/A,0.2000,2,2,0.00
236,-0.0767,0.1667,0.0566,N/A,N/A,0.3000,3,1,0.00
237,0.4729,0.6250,0.0479,N/A,N/A,0.2000,2,5,0.01
238,-0.0472,0.4000,0.0528,N/A,N/A,0.5000,5,2,0.00
239,0.2443,0.5000,0.0443,N/A,N/A,0.3000,3,4,0.01
240,-0.0398,0.2857,0.0745,N/A,N/A,0.4000,4,2,0.00
241,0.3807,0.4444,0.0363,N/A,N/A,0.1000,1,4,0.00
242,0.1622,0.3333,0.0288,N/A,N/A,0.2000,2,2,0.00
243,0.2491,0.5000,0.0491,N/A,N/A,0.3000,3,3,0.00
244,0.3479,0.5000,0.0479,N/A,N/A,0.2000,2,3,0.00
245,-0.0574,0.2000,0.0426,N/A,N/A,0.3000,3,1,0.00
246,0.2423,0.4286,0.0137,N/A,N/A,0.2000,2,3,0.00
247,-0.1135,0.3333,0.0531,N/A,N/A,0.5000,5,2,0.00
248,-0.2447,0.2222,0.0331,N/A,N/A,0.5000,5,2,0.00
249,-0.1046,0.1667,0.0287,N/A,N/A,0.3000,3,2,0.00
250,0.3590,0.5385,0.0205,N/A,N/A,0.2000,2,7,0.01
251,0.3070,0.6250,0.0820,N/A,N/A,0.4000,4,5,0.01
252,-0.5934,0.1429,0.0637,N/A,N/A,0.8000,8,1,0.00
253,0.1340,0.5000,0.0340,N/A,N/A,0.4000,4,7,0.01
254,-0.0899,0.0909,0.0192,N/A,N/A,0.2000,2,1,0.00
255,0.2436,0.5000,0.0436,N/A,N/A,0.3000,3,6,0.01
256,0.6139,0.7778,0.0361,N/A,N/A,0.2000,2,7,0.01
257,-0.2376,0.0000,0.0624,N/A,N/A,0.3000,3,0,0.00
258,0.2581,0.7143,0.0438,N/A,N/A,0.5000,5,5,0.01
259,-0.0155,0.4286,0.0559,N/A,N/A,0.5000,5,3,0.00
260,0.6202,0.7778,0.0424,N/A,N/A,0.2000,2,7,0.01
261,-0.4000,0.2500,0.0500,N/A,N/A,0.7000,7,1,0.00
262,0.2252,0.4000,0.0252,N/A,N/A,0.2000,2,4,0.00
263,0.0219,0.3750,0.0469,N/A,N/A,0.4000,4,3,0.01
264,0.4172,0.6667,0.0505,N/A,N/A,0.3000,3,6,0.01
265,-0.0128,0.3333,0.0539,N/A,N/A,0.4000,4,2,0.00
266,-0.1172,0.2500,0.0328,N/A,N/A,0.4000,4,2,0.00
267,0.0157,0.2000,0.0157,N/A,N/A,0.2000,2,2,0.00
268,0.3155,0.4000,0.0155,N/A,N/A,0.1000,1,4,0.00
269,-0.1865,0.4286,0.0849,N/A,N/A,0.7000,7,3,0.01
270,0.2782,0.4545,0.0237,N/A,N/A,0.2000,2,5,0.01
271,-0.1547,0.1250,0.0203,N/A,N/A,0.3000,3,1,0.00
272,0.4488,0.7000,0.0488,N/A,N/A,0.3000,3,7,0.01
273,-0.2683,0.0000,0.0317,N/A,N/A,0.3000,3,0,0.00
274,0.1805,0.5556,0.0250,N/A,N/A,0.4000,4,5,0.01
275,0.0790,0.5000,0.0790,N/A,N/A,0.5000,5,4,0.01
276,0.3670,0.5556,0.0114,N/A,N/A,0.2000,2,5,0.01
277,0.0117,0.1667,0.0450,N/A,N/A,0.2000,2,1,0.00
278,0.0528,0.1429,0.0100,N/A,N/A,0.1000,1,1,0.00
279,0.1607,0.4286,0.0321,N/A,N/A,0.3000,3,3,0.00
280,-0.0896,0.4286,0.0818,N/A,N/A,0.6000,6,3,0.00
281,-0.0581,0.3000,0.0419,N/A,N/A,0.4000,4,3,0.00
282,-0.1967,0.2727,0.0306,N/A,N/A,0.5000,5,3,0.00
283,-0.0849,0.0769,0.0382,N/A,N/A,0.2000,2,1,0.00
284,-0.1424,0.2143,0.0433,N/A,N/A,0.4000,4,3,0.00
285,0.3400,0.4000,0.0400,N/A,N/A,0.1000,1,6,0.01
286,0.1345,0.5000,0.0345,N/A,N/A,0.4000,4,5,0.01
287,-0.6278,0.2222,0.0500,N/A,N/A,0.9000,9,2,0.00
288,0.7209,0.6875,0.0334,N/A,N/A,0.0000,0,11,0.01
289,-0.6499,0.0000,0.0501,N/A,N/A,0.7000,7,0,0.00
290,0.4956,0.6667,0.0290,N/A,N/A,0.2000,2,8,0.01
291,-0.0231,0.3333,0.0436,N/A,N/A,0.4000,4,2,0.00
292,0.1402,0.3750,0.0652,N/A,N/A,0.3000,3,3,0.00
293,-0.0921,0.2500,0.0579,N/A,N/A,0.4000,4,2,0.00
294,0.2640,0.5000,0.0640,N/A,N/A,0.3000,3,5,0.01
295,0.1220,0.5000,0.0220,N/A,N/A,0.4000,4,4,0.01
296,-0.4234,0.1250,0.0516,N/A,N/A,0.6000,6,1,0.00
297,0.2943,0.4615,0.0328,N/A,N/A,0.2000,2,6,0.01
298,0.3954,0.5556,0.0399,N/A,N/A,0.2000,2,5,0.01
299,0.1588,0.5000,0.0588,N/A,N/A,0.4000,4,3,0.00
300,-0.1696,0.2857,0.0447,N/A,N/A,0.5000,5,2,0.00
301,-0.2612,0.2000,0.0388,N/A,N/A,0.5000,5,2,0.01
302,0.0601,0.3077,0.0524,N/A,N/A,0.3000,3,4,0.01
303,0.5113,0.6667,0.0447,N/A,N/A,0.2000,2,8,0.01
304,-0.3257,0.3333,0.0410,N/A,N/A,0.7000,7,2,0.01
305,0.1045,0.4545,0.0500,N/A,N/A,0.4000,4,5,0.01
306,0.2584,0.6000,0.0584,N/A,N/A,0.4000,4,6,0.01
307,0.0267,0.3750,0.0517,N/A,N/A,0.4000,4,3,0.00
308,0.0710,0.4444,0.0265,N/A,N/A,0.4000,4,4,0.01
309,-0.3632,0.1111,0.0257,N/A,N/A,0.5000,5,1,0.01
310,0.1291,0.3077,0.0214,N/A,N/A,0.2000,2,4,0.01
311,-0.1539,0.2727,0.0734,N/A,N/A,0.5000,5,3,0.00
312,-0.2469,0.0000,0.0531,N/A,N/A,0.3000,3,0,0.00
313,0.2069,0.5625,0.0444,N/A,N/A,0.4000,4,9,0.01
314,0.0050,0.4545,0.0505,N/A,N/A,0.5000,5,5,0.01
315,-0.1776,0.2727,0.0497,N/A,N/A,0.5000,5,3,0.00
316,0.2064,0.4615,0.0449,N/A,N/A,0.3000,3,6,0.01
317,0.1112,0.3000,0.0112,N/A,N/A,0.2000,2,3,0.00
318,0.2784,0.4444,0.0339,N/A,N/A,0.2000,2,4,0.00
319,0.4012,0.5714,0.0297,N/A,N/A,0.2000,2,4,0.00
320,0.2387,0.6000,0.0387,N/A,N/A,0.4000,4,3,0.00
321,-0.1905,0.1667,0.0428,N/A,N/A,0.4000,4,1,0.00
322,-0.0290,0.2222,0.0488,N/A,N/A,0.3000,3,2,0.00
323,0.0209,0.2000,0.0209,N/A,N/A,0.2000,2,2,0.00
324,0.3345,0.4000,0.0345,N/A,N/A,0.1000,1,4,0.01
325,-0.2823,0.1429,0.0748,N/A,N/A,0.5000,5,1,0.00
326,0.6009,0.6364,0.0646,N/A,N/A,0.1000,1,7,0.01
327,0.4206,0.6000,0.0206,N/A,N/A,0.2000,2,3,0.00
328,-0.4425,0.0000,0.0575,N/A,N/A,0.5000,5,0,0.00
329,-0.0493,0.1111,0.0396,N/A,N/A,0.2000,2,1,0.00
330,0.1531,0.5000,0.0531,N/A,N/A,0.4000,4,5,0.01
331,0.3315,0.6667,0.0649,N/A,N/A,0.4000,4,6,0.01
332,0.2853,0.4286,0.0568,N/A,N/A,0.2000,2,3,0.00
333,-0.0003,0.3333,0.0663,N/A,N/A,0.4000,4,2,0.00
334,0.1887,0.3750,0.0137,N/A,N/A,0.2000,2,3,0.00
335,0.2245,0.5714,0.0531,N/A,N/A,0.4000,4,4,0.00
336,-0.3951,0.1429,0.0620,N/A,N/A,0.6000,6,1,0.00
337,0.4420,0.5000,0.0420,N/A,N/A,0.1000,1,6,0.01
338,0.3794,0.4286,0.0508,N/A,N/A,0.1000,1,3,0.00
339,-0.3255,0.2000,0.0745,N/A,N/A,0.6000,6,1,0.00
340,0.3552,0.7000,0.0552,N/A,N/A,0.4000,4,7,0.01
341,0.0868,0.4286,0.0582,N/A,N/A,0.4000,4,3,0.00
342,-0.1411,0.1250,0.0339,N/A,N/A,0.3000,3,1,0.00
343,-0.1508,0.4000,0.0492,N/A,N/A,0.6000,6,4,0.01
344,0.3556,0.5833,0.0723,N/A,N/A,0.3000,3,7,0.01
345,-0.3003,0.2500,0.0497,N/A,N/A,0.6000,6,2,0.00
346,0.2498,0.4167,0.0331,N/A,N/A,0.2000,2,5,0.01
347,0.3154,0.5556,0.0599,N/A,N/A,0.3000,3,5,0.01
348,-0.0278,0.4286,0.0436,N/A,N/A,0.5000,5,3,0.00
349,-0.1170,0.4444,0.0385,N/A,N/A,0.6000,6,4,0.01
350,0.1071,0.3636,0.0435,N/A,N/A,0.3000,3,4,0.00
351,0.5266,0.7000,0.0266,N/A,N/A,0.2000,2,7,0.01
352,0.7171,0.8000,0.1171,N/A,N/A,0.2000,2,4,0.00
353,0.5199,0.6667,0.0532,N/A,N/A,0.2000,2,2,0.00
354,-0.3082,0.3333,0.0585,N/A,N/A,0.7000,7,1,0.00
355,0.6778,0.7778,0.0000,N/A,N/A,0.1000,1,7,0.01
356,-0.4556,0.0000,0.0444,N/A,N/A,0.5000,5,0,0.00
357,0.5459,0.6250,0.0209,N/A,N/A,0.1000,1,5,0.00
358,-0.2049,0.2500,0.0451,N/A,N/A,0.5000,5,1,0.00
359,0.6749,0.7500,0.0249,N/A,N/A,0.1000,1,6,0.01
360,0.3203,0.6667,0.0536,N/A,N/A,0.4000,4,2,0.00
